Student #,Intellect,Integrity,Courage,Reflexes,Patience,House,Ofstev Rating
53,49,13,29,27,26,Thought-Talon,25
54,25,42,24,13,29,Thought-Talon,26
55,53,18,33,37,12,Serpentyne,27
56,16,15,26,26,37,Serpentyne,12
57,16,20,35,52,43,Dragonslayer,20
58,44,23,29,21,28,Dragonslayer,17
59,13,10,32,14,43,Humblescrumble,15
60,16,49,70,63,23,Dragonslayer,42
61,35,47,21,45,15,Humblescrumble,31
62,22,19,43,42,67,Dragonslayer,23
63,23,13,26,40,20,Serpentyne,22
64,17,34,62,15,19,Dragonslayer,20
65,38,56,49,25,20,Humblescrumble,39
66,13,30,19,47,15,Humblescrumble,17
67,42,44,26,45,32,Dragonslayer,43
68,20,17,51,25,42,Dragonslayer,27
69,49,20,54,35,47,Thought-Talon,30
70,30,16,22,28,32,Thought-Talon,18
71,42,46,37,16,14,Humblescrumble,30
72,45,41,44,7,31,Humblescrumble,34
73,2,41,33,22,38,Humblescrumble,12
74,39,20,51,13,31,Thought-Talon,31
75,22,46,28,13,16,Humblescrumble,20
76,30,57,31,11,11,Humblescrumble,20
77,17,38,15,7,41,Humblescrumble,15
78,32,61,24,20,31,Humblescrumble,25
79,54,17,28,37,5,Thought-Talon,7
80,38,23,13,43,31,Serpentyne,31
81,38,26,43,5,4,Humblescrumble,14
82,12,32,16,34,45,Humblescrumble,21
83,31,63,13,12,19,Humblescrumble,25
84,14,34,27,61,17,Humblescrumble,15
85,20,68,58,31,23,Dragonslayer,23
86,17,31,27,69,22,Dragonslayer,19
87,17,11,61,54,30,Dragonslayer,29
88,60,24,46,25,13,Thought-Talon,11
89,22,22,27,11,14,Humblescrumble,13
90,11,8,10,21,18,Serpentyne,11
91,26,23,36,26,41,Dragonslayer,31
92,21,14,39,48,40,Thought-Talon,12
93,28,34,32,21,30,Thought-Talon,33
94,10,13,36,43,43,Dragonslayer,13
95,11,18,15,14,49,Humblescrumble,22
96,36,58,31,47,33,Thought-Talon,31
97,55,24,14,28,19,Thought-Talon,16
98,15,16,40,45,36,Dragonslayer,23
99,60,34,41,27,64,Serpentyne,43
100,17,49,11,46,56,Humblescrumble,15
101,63,17,16,21,32,Humblescrumble,22
102,51,25,30,2,4,Humblescrumble,13
103,51,54,17,16,54,Humblescrumble,38
104,51,8,24,57,2,Serpentyne,36
105,31,31,37,63,21,Serpentyne,21
106,22,42,13,12,61,Humblescrumble,20
107,18,28,10,57,30,Serpentyne,21
108,3,28,27,22,15,Serpentyne,7
109,15,39,45,21,45,Dragonslayer,22
110,7,22,34,43,23,Dragonslayer,19
111,46,33,41,23,24,Dragonslayer,26
112,42,20,44,54,43,Serpentyne,27
113,15,63,59,51,26,Dragonslayer,36
114,56,26,11,58,20,Serpentyne,41
115,50,47,53,30,3,Humblescrumble,22
116,28,20,12,22,19,Thought-Talon,16
117,10,27,24,24,25,Serpentyne,11
118,40,31,28,33,47,Dragonslayer,40
119,40,36,12,21,40,Thought-Talon,27
120,40,47,65,36,19,Dragonslayer,39
121,34,47,27,46,36,Dragonslayer,24
122,22,27,30,26,30,Dragonslayer,26
123,19,4,20,26,57,Humblescrumble,26
124,17,36,27,49,6,Serpentyne,12
125,40,35,47,26,50,Thought-Talon,39
126,28,55,48,31,47,Dragonslayer,28
127,28,53,21,15,25,Humblescrumble,28
128,40,25,18,17,44,Serpentyne,31
129,28,15,38,37,63,Serpentyne,29
130,14,51,62,8,15,Humblescrumble,25
131,39,36,20,39,25,Serpentyne,27
132,13,41,48,30,17,Dragonslayer,37
133,54,7,25,5,9,Humblescrumble,13
134,22,12,38,7,8,Dragonslayer,14
135,27,38,55,24,50,Thought-Talon,34
136,21,24,15,40,42,Serpentyne,21
137,42,51,27,6,42,Dragonslayer,12
138,11,31,28,13,30,Humblescrumble,15
139,12,54,32,48,46,Humblescrumble,26
140,26,41,8,26,21,Humblescrumble,25
141,22,34,15,24,9,Humblescrumble,23
142,13,29,47,36,22,Dragonslayer,30
143,24,31,30,17,38,Thought-Talon,25
144,67,40,38,25,19,Humblescrumble,25
145,75,34,54,62,45,Dragonslayer,46
146,48,27,23,31,3,Serpentyne,16
147,22,44,17,29,42,Serpentyne,20
148,52,39,35,11,48,Thought-Talon,37
149,25,28,45,15,21,Thought-Talon,26
150,19,43,40,37,57,Dragonslayer,22
151,4,50,35,46,46,Humblescrumble,23
152,30,25,23,26,24,Dragonslayer,20
153,2,31,42,51,15,Dragonslayer,21
154,41,52,26,33,12,Humblescrumble,24
155,31,13,58,38,7,Dragonslayer,28
156,29,76,57,44,4,Dragonslayer,27
157,19,42,30,16,35,Serpentyne,16
158,17,55,59,19,54,Humblescrumble,18
159,48,76,28,53,36,Humblescrumble,49
160,63,35,7,39,51,Thought-Talon,45
161,10,41,48,38,48,Dragonslayer,28
162,27,51,46,46,3,Dragonslayer,15
163,56,40,40,13,8,Humblescrumble,29
164,20,35,37,61,21,Dragonslayer,21
165,37,10,40,8,28,Thought-Talon,27
166,26,5,59,26,37,Dragonslayer,34
167,14,34,29,19,45,Humblescrumble,23
168,45,15,43,7,25,Thought-Talon,14
169,20,23,41,16,44,Thought-Talon,26
170,21,64,45,31,46,Dragonslayer,33
171,38,25,23,28,39,Dragonslayer,30
172,45,14,55,33,31,Dragonslayer,30
173,43,39,42,23,53,Thought-Talon,47
174,31,13,24,18,30,Thought-Talon,20
175,25,30,14,51,29,Serpentyne,22
176,21,18,27,52,27,Dragonslayer,19
177,27,62,41,42,42,Dragonslayer,33
178,23,13,47,46,41,Dragonslayer,22
179,29,34,49,75,31,Dragonslayer,31
180,60,36,56,3,27,Thought-Talon,32
181,14,25,55,42,2,Dragonslayer,42
182,28,17,28,18,27,Dragonslayer,20
183,18,7,31,10,39,Serpentyne,15
184,11,53,13,25,6,Humblescrumble,23
185,36,29,16,52,16,Serpentyne,30
186,17,35,27,47,50,Humblescrumble,21
187,39,29,56,24,63,Serpentyne,33
188,36,13,21,45,31,Serpentyne,32
189,32,50,63,11,15,Humblescrumble,27
190,50,62,35,7,60,Humblescrumble,49
191,34,38,15,59,31,Serpentyne,31
192,27,63,44,30,40,Dragonslayer,37
193,68,13,16,13,69,Thought-Talon,30
194,59,39,32,43,29,Dragonslayer,48
195,17,34,40,59,23,Dragonslayer,27
196,26,51,50,29,9,Dragonslayer,23
197,49,34,52,25,20,Dragonslayer,17
198,68,21,60,29,29,Dragonslayer,30
199,16,61,18,25,27,Humblescrumble,28
200,58,41,44,6,15,Humblescrumble,24
201,22,19,15,4,28,Humblescrumble,16
202,12,64,22,39,41,Humblescrumble,20
203,65,44,39,22,29,Thought-Talon,32
204,48,14,33,37,45,Thought-Talon,38
205,43,41,30,27,66,Serpentyne,48
206,39,43,26,23,47,Serpentyne,34
207,34,13,13,4,13,Thought-Talon,14
208,67,18,31,20,27,Thought-Talon,25
209,29,49,47,6,43,Thought-Talon,31
210,41,25,24,24,50,Serpentyne,28
211,49,38,25,19,20,Humblescrumble,32
212,20,43,17,39,41,Serpentyne,26
213,21,44,27,29,11,Humblescrumble,15
214,57,45,12,15,17,Humblescrumble,45
215,37,21,41,31,63,Serpentyne,29
216,43,17,32,40,17,Serpentyne,24
217,24,8,19,36,26,Serpentyne,19
218,20,69,35,38,18,Humblescrumble,24
219,32,54,24,41,53,Serpentyne,23
220,44,71,12,53,20,Humblescrumble,27
221,48,49,34,22,59,Thought-Talon,44
222,9,21,10,34,49,Humblescrumble,18
223,52,13,46,25,26,Dragonslayer,20
224,9,27,38,51,33,Thought-Talon,5
225,40,35,36,35,43,Dragonslayer,42
226,23,43,14,40,51,Serpentyne,23
227,13,21,8,60,35,Thought-Talon,6
228,37,24,38,17,46,Serpentyne,23
229,44,58,58,7,3,Humblescrumble,27
230,17,22,30,52,18,Dragonslayer,23
231,46,30,8,43,38,Thought-Talon,34
232,9,20,39,55,10,Dragonslayer,27
233,57,3,30,51,14,Serpentyne,30
234,7,28,23,52,60,Humblescrumble,29
235,42,28,16,31,23,Thought-Talon,23
236,37,30,28,46,32,Dragonslayer,36
237,43,71,73,36,42,Thought-Talon,53
238,67,8,20,62,51,Serpentyne,44
239,40,8,47,74,36,Serpentyne,37
240,28,32,37,28,25,Dragonslayer,26
241,20,12,56,45,4,Dragonslayer,31
242,65,32,31,16,5,Humblescrumble,23
243,56,12,22,27,22,Thought-Talon,17
244,50,44,27,36,31,Dragonslayer,23
245,20,37,24,41,37,Dragonslayer,26
246,53,9,20,34,4,Serpentyne,19
247,17,19,32,21,20,Dragonslayer,17
248,35,15,59,22,27,Dragonslayer,18
249,3,6,10,29,54,Humblescrumble,17
250,68,27,40,12,12,Dragonslayer,15
251,12,42,31,35,10,Humblescrumble,13
252,20,60,24,14,11,Humblescrumble,26
253,47,25,17,26,42,Thought-Talon,25
254,33,21,29,35,22,Dragonslayer,27
255,17,8,41,59,20,Dragonslayer,33
256,39,31,22,40,31,Dragonslayer,30
257,22,16,19,43,38,Serpentyne,22
258,11,26,52,37,38,Dragonslayer,33
259,22,28,29,38,50,Dragonslayer,20
260,21,43,20,35,5,Serpentyne,23
261,10,13,6,35,47,Humblescrumble,15
262,57,34,27,18,50,Thought-Talon,41
263,46,7,29,44,38,Thought-Talon,28
264,4,42,43,31,65,Dragonslayer,33
265,12,43,43,11,23,Humblescrumble,14
266,40,27,24,25,6,Humblescrumble,16
267,22,45,23,22,14,Humblescrumble,17
268,24,36,22,19,53,Serpentyne,14
269,42,21,58,51,61,Serpentyne,32
270,28,35,60,35,73,Dragonslayer,37
271,31,47,40,17,33,Thought-Talon,38
272,50,67,52,59,40,Dragonslayer,50
273,38,45,10,23,52,Serpentyne,33
274,12,27,51,34,52,Humblescrumble,19
275,40,20,14,32,66,Serpentyne,36
276,6,40,18,57,20,Humblescrumble,22
277,37,18,5,26,27,Thought-Talon,32
278,16,24,18,28,26,Dragonslayer,25
279,18,23,28,25,67,Humblescrumble,30
280,70,42,27,10,44,Thought-Talon,35
281,47,27,25,32,13,Serpentyne,20
282,36,23,37,36,54,Serpentyne,37
283,57,23,24,15,28,Thought-Talon,19
284,20,40,42,60,13,Dragonslayer,30
285,15,19,16,31,2,Serpentyne,16
286,14,14,31,26,25,Dragonslayer,13
287,11,43,22,31,32,Humblescrumble,19
288,17,18,41,43,30,Dragonslayer,25
289,10,30,4,59,27,Humblescrumble,17
290,25,64,43,47,42,Dragonslayer,30
291,35,27,18,64,5,Serpentyne,29
292,6,64,62,13,55,Humblescrumble,21
293,33,30,27,70,36,Dragonslayer,35
294,7,17,13,38,44,Humblescrumble,17
295,30,14,58,41,33,Dragonslayer,42
296,38,15,46,31,10,Dragonslayer,30
297,21,18,32,57,30,Dragonslayer,21
298,53,51,67,21,11,Humblescrumble,30
299,25,12,44,45,47,Dragonslayer,23
300,37,30,29,6,41,Thought-Talon,29
301,46,14,57,36,28,Dragonslayer,34
302,46,10,34,36,25,Serpentyne,22
303,38,19,37,28,38,Thought-Talon,27
304,44,10,67,12,4,Dragonslayer,16
305,34,24,7,36,36,Thought-Talon,28
306,12,43,50,44,11,Dragonslayer,31
307,23,20,33,28,11,Dragonslayer,20
308,56,57,10,30,21,Humblescrumble,39
309,29,10,49,49,19,Dragonslayer,24
310,51,14,17,31,28,Thought-Talon,16
311,24,10,37,45,43,Serpentyne,32
312,28,11,9,41,27,Serpentyne,28
313,36,21,32,9,32,Dragonslayer,17
314,15,17,7,12,37,Humblescrumble,18
315,35,23,62,9,40,Thought-Talon,20
316,74,32,48,23,67,Thought-Talon,59
317,33,27,39,16,32,Thought-Talon,32
318,35,19,7,22,53,Serpentyne,32
319,45,30,39,22,8,Dragonslayer,17
320,51,52,17,32,63,Serpentyne,34
321,32,42,23,56,39,Serpentyne,28
322,52,29,38,24,35,Thought-Talon,40
323,53,31,18,11,4,Humblescrumble,15
324,25,6,23,7,36,Serpentyne,24
325,24,55,57,18,35,Thought-Talon,27
326,33,15,60,31,53,Serpentyne,29
327,36,32,41,38,40,Dragonslayer,31
328,53,43,15,31,33,Thought-Talon,32
329,54,32,17,46,48,Thought-Talon,44
330,19,60,53,52,27,Dragonslayer,26
331,19,17,54,48,21,Dragonslayer,34
332,22,13,40,32,25,Dragonslayer,26
333,40,60,33,40,26,Humblescrumble,33
334,42,40,21,44,34,Thought-Talon,26
335,38,54,37,22,6,Humblescrumble,25
336,53,54,40,25,43,Thought-Talon,51
337,23,25,16,48,31,Serpentyne,21
338,25,40,20,19,26,Humblescrumble,27
339,18,23,47,17,58,Humblescrumble,26
340,41,35,30,16,16,Humblescrumble,19
341,20,8,43,26,36,Dragonslayer,31
342,44,46,16,30,38,Thought-Talon,28
343,21,31,26,24,12,Humblescrumble,15
344,22,40,10,13,27,Humblescrumble,26
345,10,26,36,17,29,Dragonslayer,10
346,34,15,20,7,54,Serpentyne,29
347,30,19,49,42,23,Dragonslayer,18
348,17,17,48,16,37,Dragonslayer,15
349,22,24,8,15,8,Humblescrumble,16
350,20,43,74,26,21,Dragonslayer,27
351,25,29,20,59,34,Serpentyne,23
352,79,48,31,52,33,Dragonslayer,32
353,14,20,59,28,47,Dragonslayer,26
354,27,50,33,26,14,Humblescrumble,29
355,35,13,39,35,43,Serpentyne,26
356,16,37,42,55,46,Dragonslayer,26
357,37,36,56,38,19,Dragonslayer,36
358,18,52,66,9,30,Humblescrumble,20
359,32,40,36,33,48,Dragonslayer,46
360,31,19,7,9,45,Serpentyne,30
361,22,32,26,29,13,Humblescrumble,22
362,26,31,16,18,46,Serpentyne,31
363,63,31,14,34,47,Thought-Talon,36
364,22,18,61,26,53,Dragonslayer,24
365,24,64,34,28,31,Dragonslayer,29
366,10,27,23,2,21,Humblescrumble,17
367,21,57,33,35,59,Dragonslayer,21
368,33,63,39,56,39,Dragonslayer,46
369,43,40,54,42,31,Dragonslayer,36
370,32,31,36,38,27,Dragonslayer,32
371,16,23,38,37,56,Humblescrumble,22
372,30,54,24,52,25,Dragonslayer,17
373,71,26,16,36,34,Thought-Talon,34
374,51,13,53,24,61,Serpentyne,39
375,13,52,11,37,30,Humblescrumble,22
376,23,31,6,30,19,Humblescrumble,17
377,53,27,59,59,47,Serpentyne,43
378,5,42,6,21,33,Humblescrumble,18
379,56,17,10,27,8,Serpentyne,19
380,25,57,40,24,12,Dragonslayer,19
381,41,32,57,25,7,Dragonslayer,33
382,22,16,44,24,27,Dragonslayer,18
383,18,42,5,58,14,Humblescrumble,17
384,34,33,58,22,16,Dragonslayer,18
385,52,44,34,21,30,Thought-Talon,34
386,29,26,26,43,26,Dragonslayer,36
387,50,36,18,12,43,Thought-Talon,35
388,50,46,43,9,68,Thought-Talon,40
389,49,26,38,39,26,Dragonslayer,42
390,31,8,11,46,5,Serpentyne,32
391,12,33,19,34,26,Humblescrumble,17
392,35,53,2,24,46,Humblescrumble,37
393,6,14,47,23,26,Dragonslayer,32
394,33,3,44,53,30,Serpentyne,24
395,19,25,39,23,24,Dragonslayer,22
396,21,12,52,51,55,Dragonslayer,32
397,31,31,47,35,27,Dragonslayer,25
398,17,32,26,53,37,Dragonslayer,15
399,58,55,31,16,33,Humblescrumble,46
400,13,69,7,32,26,Humblescrumble,26
401,12,57,69,46,9,Dragonslayer,51
402,18,45,19,35,9,Humblescrumble,21
403,33,27,30,27,77,Dragonslayer,39
404,55,23,6,12,36,Thought-Talon,33
405,4,43,34,66,23,Humblescrumble,14
406,16,22,14,12,37,Serpentyne,13
407,15,29,14,3,37,Humblescrumble,16
408,43,32,25,27,29,Serpentyne,20
409,23,29,53,36,41,Dragonslayer,41
410,39,28,6,38,43,Serpentyne,25
411,49,47,14,48,52,Thought-Talon,26
412,30,23,12,26,11,Humblescrumble,8
413,27,47,5,42,61,Serpentyne,35
414,16,24,42,45,34,Dragonslayer,26
415,48,38,32,73,29,Serpentyne,37
416,12,60,18,61,27,Humblescrumble,31
417,62,23,63,55,20,Dragonslayer,35
418,29,24,17,37,30,Serpentyne,17
419,42,41,25,49,53,Serpentyne,36
420,7,11,44,27,19,Dragonslayer,37
421,18,35,28,21,16,Dragonslayer,20
422,17,20,40,2,38,Serpentyne,18
423,23,36,18,56,24,Serpentyne,21
424,11,51,20,29,51,Humblescrumble,21
425,26,25,45,39,12,Dragonslayer,26
426,20,46,16,36,11,Serpentyne,19
427,6,64,30,29,2,Humblescrumble,24
428,33,12,36,40,24,Dragonslayer,19
429,49,21,52,47,9,Dragonslayer,30
430,38,18,45,26,9,Dragonslayer,23
431,16,17,38,47,27,Dragonslayer,27
432,29,38,45,36,26,Dragonslayer,32
433,59,48,19,26,68,Serpentyne,42
434,7,27,39,43,36,Dragonslayer,22
435,29,53,29,50,67,Dragonslayer,42
436,19,5,18,28,22,Serpentyne,20
437,61,69,39,47,37,Humblescrumble,40
438,21,10,44,28,50,Dragonslayer,28
439,43,25,15,23,18,Dragonslayer,15
440,17,59,62,17,40,Humblescrumble,15
441,23,22,39,40,35,Dragonslayer,34
442,58,46,19,33,33,Humblescrumble,28
443,8,21,8,18,33,Humblescrumble,19
444,62,20,29,25,36,Thought-Talon,29
445,38,45,51,33,11,Dragonslayer,26
446,38,45,32,46,13,Serpentyne,36
447,41,47,35,16,17,Humblescrumble,30
448,54,76,22,42,25,Humblescrumble,42
449,60,64,46,59,7,Thought-Talon,9
450,38,25,50,17,45,Serpentyne,24
451,58,51,22,54,69,Serpentyne,48
452,59,13,30,10,39,Thought-Talon,26
453,37,47,17,38,20,Humblescrumble,31
454,11,24,60,29,39,Dragonslayer,35
455,21,70,10,24,17,Humblescrumble,23
456,38,30,53,67,19,Humblescrumble,19
457,13,23,19,51,32,Humblescrumble,17
458,17,57,24,33,18,Humblescrumble,14
459,34,37,8,34,24,Humblescrumble,25
460,30,17,56,46,20,Dragonslayer,37
461,57,40,24,19,33,Thought-Talon,27
462,15,6,23,40,27,Serpentyne,12
463,19,32,28,30,29,Dragonslayer,27
464,8,10,11,24,32,Humblescrumble,16
465,35,38,24,24,28,Dragonslayer,26
466,48,62,10,30,59,Humblescrumble,35
467,47,19,12,18,60,Serpentyne,29
468,25,30,30,9,44,Thought-Talon,15
469,31,37,46,25,58,Thought-Talon,39
470,24,21,42,45,34,Dragonslayer,23
471,25,27,12,35,33,Serpentyne,21
472,30,23,36,31,20,Dragonslayer,25
473,15,9,32,14,13,Dragonslayer,18
474,27,31,43,14,48,Thought-Talon,33
475,66,10,44,15,42,Thought-Talon,25
476,18,17,14,60,28,Serpentyne,16
477,44,10,36,10,36,Thought-Talon,34
478,23,25,38,6,26,Thought-Talon,22
479,28,31,24,36,32,Dragonslayer,37
480,24,61,33,21,6,Serpentyne,12
481,52,9,42,34,25,Dragonslayer,18
482,17,35,24,11,64,Humblescrumble,27
483,37,49,24,26,27,Humblescrumble,24
484,14,52,26,28,72,Humblescrumble,28
485,34,12,10,39,12,Serpentyne,29
486,39,20,22,38,45,Thought-Talon,24
487,29,21,52,9,10,Humblescrumble,17
488,17,27,12,14,21,Humblescrumble,15
489,4,40,58,7,34,Humblescrumble,24
490,26,16,33,11,9,Dragonslayer,12
491,10,9,38,30,53,Humblescrumble,24
492,11,48,11,6,33,Humblescrumble,22
493,51,29,16,66,39,Serpentyne,46
494,21,42,39,39,49,Dragonslayer,16
495,38,9,24,15,7,Thought-Talon,8
496,64,42,28,42,24,Dragonslayer,37
497,27,31,40,34,42,Dragonslayer,30
498,36,19,25,12,32,Thought-Talon,21
499,70,52,37,63,39,Dragonslayer,43
500,12,9,63,22,49,Humblescrumble,17
501,64,40,13,23,41,Thought-Talon,35
502,11,12,15,27,8,Dragonslayer,8
503,44,33,43,19,23,Serpentyne,14
504,46,52,33,7,48,Thought-Talon,34
505,32,40,47,22,11,Humblescrumble,23
506,43,23,15,54,61,Serpentyne,29
507,40,44,16,10,30,Humblescrumble,23
508,7,31,65,50,28,Dragonslayer,47
509,52,28,11,8,14,Humblescrumble,17
510,51,26,36,34,46,Thought-Talon,40
511,39,49,8,42,35,Humblescrumble,25
512,61,11,21,41,40,Thought-Talon,33
513,59,31,38,35,52,Thought-Talon,45
514,46,51,17,23,43,Humblescrumble,35
515,27,8,42,56,13,Serpentyne,26
516,32,48,42,34,25,Dragonslayer,29
517,51,41,11,27,12,Humblescrumble,23
518,54,18,15,18,7,Humblescrumble,11
519,8,21,17,40,24,Humblescrumble,13
520,25,23,25,16,61,Thought-Talon,22
521,37,13,28,65,44,Serpentyne,29
522,60,22,39,15,17,Dragonslayer,22
523,50,41,26,27,14,Humblescrumble,23
524,37,26,29,57,31,Serpentyne,35
525,8,41,37,42,18,Dragonslayer,23
526,41,28,54,28,12,Thought-Talon,7
527,54,15,20,22,3,Serpentyne,13
528,11,52,37,17,45,Humblescrumble,25
529,20,33,34,41,45,Dragonslayer,22
530,9,31,60,27,17,Dragonslayer,23
531,13,56,28,49,41,Humblescrumble,17
532,22,56,13,36,27,Humblescrumble,24
533,20,48,32,28,50,Dragonslayer,22
534,69,62,10,43,39,Humblescrumble,30
535,25,24,55,42,18,Dragonslayer,39
536,30,17,14,23,19,Thought-Talon,15
537,42,24,39,23,36,Thought-Talon,26
538,33,25,36,29,16,Dragonslayer,19
539,30,64,52,20,21,Humblescrumble,26
540,37,5,22,50,31,Serpentyne,32
541,41,30,24,52,55,Serpentyne,43
542,16,52,33,14,48,Humblescrumble,28
543,21,17,19,35,57,Humblescrumble,28
544,25,28,39,23,23,Dragonslayer,28
545,9,23,45,25,18,Dragonslayer,28
546,37,71,29,52,25,Serpentyne,27
547,26,35,17,20,29,Humblescrumble,15
548,6,29,23,21,26,Humblescrumble,12
549,65,13,39,40,17,Serpentyne,23
550,13,59,29,14,22,Humblescrumble,21
551,11,56,11,15,39,Humblescrumble,20
552,34,62,57,31,64,Thought-Talon,38
553,12,32,23,40,15,Humblescrumble,17
554,24,28,29,23,25,Dragonslayer,20
555,57,15,12,27,22,Thought-Talon,15
556,43,17,59,58,44,Dragonslayer,38
557,17,18,36,33,20,Dragonslayer,22
558,52,36,53,29,41,Thought-Talon,42
559,47,60,43,45,74,Dragonslayer,63
560,22,9,23,12,19,Dragonslayer,10
561,52,50,50,50,27,Humblescrumble,35
562,37,32,23,28,21,Dragonslayer,32
563,32,26,22,10,3,Humblescrumble,19
564,17,32,45,40,43,Dragonslayer,29
565,15,48,8,43,46,Humblescrumble,13
566,26,22,28,19,9,Dragonslayer,7
567,22,33,4,34,10,Serpentyne,20
568,15,20,30,59,18,Dragonslayer,16
569,30,39,7,24,29,Humblescrumble,29
570,45,50,15,58,44,Serpentyne,36
571,15,27,10,59,39,Humblescrumble,21
572,54,9,36,41,29,Serpentyne,30
573,27,25,4,31,37,Serpentyne,25
574,48,43,31,53,27,Serpentyne,31
575,41,71,48,45,10,Humblescrumble,29
576,43,37,42,42,23,Dragonslayer,27
577,59,26,27,52,21,Serpentyne,29
578,67,45,31,48,34,Dragonslayer,42
579,13,55,23,32,43,Humblescrumble,21
580,36,24,20,57,23,Serpentyne,32
581,15,44,53,37,46,Dragonslayer,26
582,4,17,3,14,26,Humblescrumble,14
583,23,41,53,36,60,Dragonslayer,19
584,21,21,47,50,18,Dragonslayer,28
585,13,31,25,39,20,Humblescrumble,16
586,57,37,19,34,65,Serpentyne,47
587,50,9,19,24,21,Thought-Talon,21
588,38,69,36,26,56,Thought-Talon,40
589,47,54,46,5,12,Serpentyne,3
590,13,64,43,26,11,Dragonslayer,25
591,28,30,35,11,20,Thought-Talon,17
592,7,33,34,35,19,Dragonslayer,16
593,43,27,25,33,32,Dragonslayer,38
594,49,37,33,37,47,Dragonslayer,43
595,30,17,13,28,42,Dragonslayer,19
596,14,9,54,59,31,Dragonslayer,33
597,38,7,35,49,66,Humblescrumble,23
598,31,31,49,11,35,Thought-Talon,35
599,6,60,55,28,43,Serpentyne,13
600,47,36,39,57,13,Thought-Talon,10
601,47,36,17,29,28,Thought-Talon,18
602,24,42,52,38,41,Dragonslayer,36
603,19,38,18,23,12,Humblescrumble,18
604,46,46,47,38,26,Dragonslayer,33
605,43,7,6,42,29,Serpentyne,31
606,57,56,18,62,31,Serpentyne,41
607,27,23,31,27,27,Dragonslayer,21
608,37,40,20,35,40,Humblescrumble,30
609,47,49,15,24,20,Humblescrumble,36
610,47,38,61,51,63,Humblescrumble,23
611,37,23,19,27,38,Thought-Talon,17
612,35,50,30,26,54,Humblescrumble,25
613,63,33,12,33,33,Thought-Talon,29
614,37,44,36,44,14,Humblescrumble,25
615,41,37,10,32,55,Serpentyne,40
616,7,45,62,66,24,Dragonslayer,35
617,44,29,27,69,10,Serpentyne,28
618,30,55,5,49,18,Serpentyne,23
619,13,28,12,51,42,Humblescrumble,15
620,18,75,3,53,15,Humblescrumble,22
621,37,39,25,44,39,Dragonslayer,18
622,34,24,62,25,12,Dragonslayer,22
623,24,43,40,36,50,Dragonslayer,29
624,49,22,21,13,27,Thought-Talon,27
625,57,26,32,55,17,Serpentyne,38
626,22,66,13,23,38,Humblescrumble,25
627,60,49,22,40,32,Humblescrumble,40
628,46,34,24,26,13,Humblescrumble,24
629,52,44,14,24,24,Humblescrumble,32
630,47,31,24,39,37,Thought-Talon,31
631,38,31,76,28,21,Dragonslayer,27
632,47,52,37,58,46,Dragonslayer,46
633,39,43,22,51,22,Serpentyne,37
634,21,25,39,35,55,Dragonslayer,30
635,47,28,50,71,24,Serpentyne,44
636,32,32,30,43,8,Serpentyne,34
637,9,44,22,34,25,Humblescrumble,23
638,52,40,40,19,12,Humblescrumble,24
